activity_id,ts,date,dow,time_bucket,duration_min,activity_type,intensity,notes
A0001,2026-02-01T10:44:01,2026-02-01,Sunday,morning,67.0,walk,,
A0002,2026-02-02T09:49:22,2026-02-02,Monday,morning,25.0,walk,,
A0003,2026-02-04T09:08:41,2026-02-04,Wednesday,morning,22.0,walk,,
A0004,2026-02-07T07:43:00,2026-02-07,Saturday,morning,29.0,walk,,
A0005,2026-02-08T10:23:19,2026-02-08,Sunday,morning,28.0,walk,,
A0006,2026-02-09T10:02:29,2026-02-09,Monday,morning,27.0,walk,,
A0007,2026-02-10T09:12:36,2026-02-10,Tuesday,morning,25.0,walk,,
A0008,2026-02-11T08:55:03,2026-02-11,Wednesday,morning,26.0,walk,,
A0009,2026-02-12T11:09:27,2026-02-12,Thursday,midday,20.0,walk,,
A0010,2026-02-13T10:49:45,2026-02-13,Friday,morning,26.0,walk,,
A0011,2026-02-15T09:38:15,2026-02-15,Sunday,morning,49.0,walk,,
A0012,2026-02-16T06:32:57,2026-02-16,Monday,morning,32.0,walk,,
A0013,2026-02-17T10:33:56,2026-02-17,Tuesday,morning,23.0,walk,,
A0014,2026-02-21T10:14:54,2026-02-21,Saturday,morning,39.0,walk,,
A0015,2026-02-22T08:26:34,2026-02-22,Sunday,morning,49.0,walk,,
A0016,2026-02-23T09:17:12,2026-02-23,Monday,morning,36.0,walk,,
A0017,2026-02-24T08:41:30,2026-02-24,Tuesday,morning,26.0,walk,,
A0018,2026-02-27T11:00:34,2026-02-27,Friday,midday,21.0,walk,,
A0019,2026-02-28T07:01:00,2026-02-28,Saturday,morning,35.0,walk,,
A0020,2026-03-01T12:10:21,2026-03-01,Sunday,midday,27.0,walk,,
A0021,2026-03-02T09:09:14,2026-03-02,Monday,morning,25.0,walk,,
A0022,2026-03-03T09:06:02,2026-03-03,Tuesday,morning,27.0,walk,,
A0023,2026-03-04T08:58:00,2026-03-04,Wednesday,morning,25.0,walk,,
A0024,2026-03-06T11:33:21,2026-03-06,Friday,midday,58.0,walk,,
A0025,2026-03-13T11:11:04,2026-03-13,Friday,midday,25.0,walk,,
A0026,2026-03-15T09:40:23,2026-03-15,Sunday,morning,28.0,walk,,
A0027,2026-03-20T07:25:15,2026-03-20,Friday,morning,26.0,walk,,
A0028,2026-03-21T09:00:38,2026-03-21,Saturday,morning,31.0,walk,,
A0029,2026-03-22T09:57:27,2026-03-22,Sunday,morning,30.0,walk,,
A0030,2026-03-27T12:14:34,2026-03-27,Friday,midday,27.0,walk,,
A0031,2026-03-29T09:42:36,2026-03-29,Sunday,morning,33.0,walk,,
A0032,2026-03-31T07:52:36,2026-03-31,Tuesday,morning,33.0,walk,,
A0033,2026-04-03T11:23:41,2026-04-03,Friday,midday,30.0,walk,,
A0034,2026-04-05T10:48:05,2026-04-05,Sunday,morning,22.0,walk,,
A0035,2026-04-07T09:05:43,2026-04-07,Tuesday,morning,23.0,walk,,
A0036,2026-04-11T09:19:24,2026-04-11,Saturday,morning,27.0,walk,,
A0037,2026-04-14T17:38:00,2026-04-14,Tuesday,afternoon,22.0,walk,,
A0038,2026-04-14T18:26:25,2026-04-14,Tuesday,evening,20.0,walk,,
A0039,2026-04-15T07:09:18,2026-04-15,Wednesday,morning,34.0,walk,,
A0040,2026-04-17T10:30:44,2026-04-17,Friday,morning,23.0,walk,,
A0041,2026-04-19T10:44:58,2026-04-19,Sunday,morning,41.0,walk,,
A0042,2026-04-20T09:35:01,2026-04-20,Monday,morning,26.0,walk,,
A0043,2026-04-21T09:15:51,2026-04-21,Tuesday,morning,26.0,walk,,
A0044,2026-04-23T07:30:28,2026-04-23,Thursday,morning,27.0,walk,,
A0045,2026-04-24T08:33:16,2026-04-24,Friday,morning,34.0,walk,,
A0046,2026-04-25T10:13:00,2026-04-25,Saturday,morning,31.0,walk,,
A0047,2026-04-26T09:46:52,2026-04-26,Sunday,morning,31.0,walk,,
A0048,2026-04-28T08:52:16,2026-04-28,Tuesday,morning,40.0,walk,,
